"rho","beta_coef","Tfull","beta_sd_avg","omega_sd_avg","rho_sd_avg"
-0.6,1,3,0.0121612715683866,0.017835937849733,0.00680163164476128
-0.5,1,3,0.011742280341356,0.0171766822697232,0.00833434079035141
-0.4,1,3,0.011709201723828,0.0176433673898046,0.0101259606639057
-0.3,1,3,0.011450991877936,0.0169786201977272,0.0114445688180523
-0.2,1,3,0.011291840899724,0.0169267875001633,0.0130050968705508
-0.1,1,3,0.0111713535305503,0.0168489999932641,0.0147350302758287
0,1,3,0.0110445695821689,0.0166653666628611,0.01649275866462
0.1,1,3,0.0109925120863299,0.0168223817952895,0.017740488125094
0.2,1,3,0.010900236695242,0.0169738037946578,0.0198036946527054
0.3,1,3,0.0107409370680492,0.0169176697957874,0.0216023229520224
0.4,1,3,0.0106869578899928,0.0169845908932129,0.0228845955504946
0.5,1,3,0.0106662036908909,0.0174390087582285,0.0243104196109084
0.6,1,3,0.0105505609048975,0.0173264241081209,0.0235021179216141
0.7,1,3,0.0105463694428424,0.0175419717358648,0.0177737356173722
0.8,1,3,0.0107400913294743,0.0180633696334485,0.00946207313610794
0.9,1,3,0.0111556153140936,0.0201364065402955,0.00385781050725284
-0.9,1,4,0.0121536473357834,0.0163361312541223,0.00154164193417617
-0.8,1,4,0.0115639029598077,0.015825562282935,0.00289112726346774
-0.7,1,4,0.0112275064207788,0.0158488123746679,0.00412546563592814
-0.6,1,4,0.0109243987731421,0.015639619814693,0.00536132341534866
-0.5,1,4,0.0107119912104553,0.0153917205114991,0.00667339316397847
-0.4,1,4,0.0105382680775828,0.0152263267383364,0.00807530581311397
-0.3,1,4,0.0103779814991193,0.0151966003504211,0.00927320959025211
-0.2,1,4,0.0102906045241647,0.0151993486011256,0.010597408884617
-0.1,1,4,0.0101897431796779,0.0150089716505694,0.0115899416531526
0,1,4,0.0100407993064804,0.0148109818354365,0.0122323214833964
0.1,1,4,0.00996067187462209,0.0149121019080815,0.0129130194954473
0.2,1,4,0.0099073553138779,0.0148693769146337,0.0135872688850673
0.3,1,4,0.00986930420765569,0.0148109960966884,0.0146401600429351
0.4,1,4,0.00982533635545267,0.0148603309939935,0.015646372661969
0.5,1,4,0.00990776621332933,0.015497155129185,0.0167868778011334
