"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"omega",500,455,0.91,0.283221265318127,1,1.71677873468187,0.05,40,3,0.4,1,1
"rho",500,499,0.998,-0.461130980508811,0.4,1.26113098050881,0.05,40,3,0.4,1,1
"beta",500,458,0.916,0.559635231011879,1,1.44036476898812,0.05,40,3,0.5,1,1
"omega",500,445,0.89,0.283771517738382,1,1.71622848226162,0.05,40,3,0.5,1,1
"rho",500,494,0.988,-0.31884629416035,0.5,1.31884629416035,0.05,40,3,0.5,1,1
"beta",500,458,0.916,0.559227803307344,1,1.44077219669266,0.05,40,3,0.6,1,1
"omega",500,444,0.888,0.296665278376106,1,1.70333472162389,0.05,40,3,0.6,1,1
"rho",500,472,0.944,-0.0491314028803266,0.6,1.24913140288033,0.05,40,3,0.6,1,1
"beta",500,468,0.936,0.544771503261832,1,1.45522849673817,0.05,40,3,0.7,1,1
"omega",500,466,0.932,0.218707331721505,1,1.78129266827849,0.05,40,3,0.7,1,1
"rho",500,451,0.902,0.222141685442212,0.7,1.17785831455779,0.05,40,3,0.7,1,1
"beta",500,465,0.93186372745491,0.538790552048829,1,1.46120944795117,0.05,40,3,0.8,1,1
"omega",500,463,0.927855711422846,0.211968749775352,1,1.78803125022465,0.05,40,3,0.8,1,1
"rho",500,383,0.767535070140281,0.478161857284176,0.8,1.12183814271582,0.05,40,3,0.8,1,1
"beta",500,455,0.91,0.513874281140593,1,1.48612571885941,0.05,40,3,0.9,1,1
"omega",500,450,0.9,0.102826620616222,1,1.89717337938378,0.05,40,3,0.9,1,1
"rho",500,396,0.792,0.766999863041391,0.9,1.03300013695861,0.05,40,3,0.9,1,1
"beta",500,460,0.923694779116466,0.51024621859565,1,1.48975378140435,0.05,50,3,-0.9,1,1
"omega",500,458,0.919678714859438,0.271474935352077,1,1.72852506464792,0.05,50,3,-0.9,1,1
"rho",500,459,0.921686746987952,-0.971669222160723,-0.9,-0.828330777839277,0.05,50,3,-0.9,1,1
"beta",500,467,0.935871743486974,0.532422927375587,1,1.46757707262441,0.05,50,3,-0.8,1,1
"omega",500,469,0.939879759519038,0.274139943959043,1,1.72586005604096,0.05,50,3,-0.8,1,1
"rho",500,460,0.92184368737475,-0.936577079617243,-0.8,-0.663422920382757,0.05,50,3,-0.8,1,1
"beta",500,464,0.928,0.537391584202806,1,1.46260841579719,0.05,50,3,-0.7,1,1
"omega",500,462,0.924,0.299508454006065,1,1.70049154599394,0.05,50,3,-0.7,1,1
"rho",500,457,0.914,-0.886445462071204,-0.7,-0.513554537928796,0.05,50,3,-0.7,1,1
"beta",500,468,0.936,0.561571218582539,1,1.43842878141746,0.05,50,3,-0.6,1,1
"omega",500,459,0.918,0.336591114723692,1,1.66340888527631,0.05,50,3,-0.6,1,1
"rho",500,460,0.92,-0.85839574301757,-0.6,-0.34160425698243,0.05,50,3,-0.6,1,1
"beta",500,458,0.916,0.562827068380954,1,1.43717293161905,0.05,50,3,-0.5,1,1
"omega",500,452,0.904,0.355611507216786,1,1.64438849278321,0.05,50,3,-0.5,1,1
"rho",500,455,0.91,-0.819904211700236,-0.5,-0.180095788299764,0.05,50,3,-0.5,1,1
"beta",500,473,0.946,0.563474757520671,1,1.43652524247933,0.05,50,3,-0.4,1,1
"omega",500,462,0.924,0.334487912760244,1,1.66551208723976,0.05,50,3,-0.4,1,1
"rho",500,450,0.9,-0.770315218903621,-0.4,-0.029684781096379,0.05,50,3,-0.4,1,1
"beta",500,470,0.94188376753507,0.578210611070414,1,1.42178938892959,0.05,50,3,-0.3,1,1
"omega",500,454,0.909819639278557,0.342776557561373,1,1.65722344243863,0.05,50,3,-0.3,1,1
"rho",500,444,0.889779559118236,-0.720049305104988,-0.3,0.120049305104988,0.05,50,3,-0.3,1,1
"beta",500,466,0.932,0.581372171718408,1,1.41862782828159,0.05,50,3,-0.2,1,1
"omega",500,470,0.94,0.347292598191787,1,1.65270740180821,0.05,50,3,-0.2,1,1
"rho",500,453,0.906,-0.717364273038613,-0.2,0.317364273038613,0.05,50,3,-0.2,1,1
"beta",500,465,0.93,0.586982712445881,1,1.41301728755412,0.05,50,3,-0.1,1,1
