"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"omega",1000,919,0.91991991991992,0.246316350122549,1,1.75368364987745,0.05,100,2,-0.5,1,1
"rho",1000,922,0.922922922922923,-0.855308251350295,-0.5,-0.144691748649705,0.05,100,2,-0.5,1,1
"beta",1000,920,0.92,0.612260452170891,1,1.38773954782911,0.05,100,2,-0.4,1,1
"omega",1000,901,0.901,0.316573535366131,1,1.68342646463387,0.05,100,2,-0.4,1,1
"rho",1000,917,0.917,-0.836001756505366,-0.4,0.0360017565053658,0.05,100,2,-0.4,1,1
"beta",1000,932,0.934804413239719,0.610250237350809,1,1.38974976264919,0.05,100,2,-0.3,1,1
"omega",1000,908,0.910732196589769,0.300759395714788,1,1.69924060428521,0.05,100,2,-0.3,1,1
"rho",1000,937,0.939819458375125,-0.789139887878974,-0.3,0.189139887878974,0.05,100,2,-0.3,1,1
"beta",1000,939,0.93993993993994,0.620218186090821,1,1.37978181390918,0.05,100,2,-0.2,1,1
"omega",1000,921,0.921921921921922,0.34805573905268,1,1.65194426094732,0.05,100,2,-0.2,1,1
"rho",1000,909,0.90990990990991,-0.755896322885826,-0.2,0.355896322885826,0.05,100,2,-0.2,1,1
"beta",1000,932,0.932,0.633067874691087,1,1.36693212530891,0.05,100,2,-0.1,1,1
"omega",1000,930,0.93,0.374027395379551,1,1.62597260462045,0.05,100,2,-0.1,1,1
"rho",1000,927,0.927,-0.714981262297867,-0.1,0.514981262297867,0.05,100,2,-0.1,1,1
"beta",1000,953,0.953953953953954,0.622608360566793,1,1.37739163943321,0.05,100,2,0,1,1
"omega",1000,932,0.932932932932933,0.333891352082588,1,1.66610864791741,0.05,100,2,0,1,1
"rho",1000,956,0.956956956956957,-0.677035083672934,0,0.677035083672934,0.05,100,2,0,1,1
"beta",1000,929,0.929,0.640377451712347,1,1.35962254828765,0.05,100,2,0.1,1,1
"omega",1000,928,0.928,0.364273722071358,1,1.63572627792864,0.05,100,2,0.1,1,1
"rho",1000,986,0.986,-0.59082773217798,0.1,0.79082773217798,0.05,100,2,0.1,1,1
"beta",1000,913,0.913,0.661155777891193,1,1.33884422210881,0.05,100,2,0.2,1,1
"omega",1000,921,0.921,0.377101611649463,1,1.62289838835054,0.05,100,2,0.2,1,1
"rho",1000,996,0.996,-0.571759722363164,0.2,0.971759722363164,0.05,100,2,0.2,1,1
"beta",1000,901,0.901,0.66944612184495,1,1.33055387815505,0.05,100,2,0.3,1,1
"omega",1000,896,0.896,0.415901020605153,1,1.58409897939485,0.05,100,2,0.3,1,1
"rho",1000,997,0.997,-0.476198880922401,0.3,1.0761988809224,0.05,100,2,0.3,1,1
"beta",1000,925,0.925,0.655313618274446,1,1.34468638172555,0.05,100,2,0.4,1,1
"omega",1000,920,0.92,0.360477159971025,1,1.63952284002898,0.05,100,2,0.4,1,1
"rho",1000,988,0.988,-0.36385872576824,0.4,1.16385872576824,0.05,100,2,0.4,1,1
"beta",1000,909,0.909,0.68033660418305,1,1.31966339581695,0.05,100,2,0.5,1,1
"omega",1000,897,0.897,0.446785452565089,1,1.55321454743491,0.05,100,2,0.5,1,1
"rho",1000,959,0.959,-0.134773357291775,0.5,1.13477335729177,0.05,100,2,0.5,1,1
"beta",1000,907,0.907,0.679017952770719,1,1.32098204722928,0.05,100,2,0.6,1,1
"omega",1000,886,0.886,0.427208596128286,1,1.57279140387171,0.05,100,2,0.6,1,1
"rho",1000,907,0.907,0.0947982072557899,0.6,1.10520179274421,0.05,100,2,0.6,1,1
"beta",1000,911,0.911911911911912,0.676231614814345,1,1.32376838518565,0.05,100,2,0.7,1,1
"omega",1000,899,0.8998998998999,0.43399613923835,1,1.56600386076165,0.05,100,2,0.7,1,1
"rho",1000,887,0.887887887887888,0.261270755830344,0.7,1.13872924416966,0.05,100,2,0.7,1,1
"beta",1000,921,0.921,0.665940413442513,1,1.33405958655749,0.05,100,2,0.8,1,1
"omega",1000,894,0.894,0.425464052794392,1,1.57453594720561,0.05,100,2,0.8,1,1
"rho",1000,843,0.843,0.556779406244444,0.8,1.04322059375556,0.05,100,2,0.8,1,1
"beta",1000,918,0.918,0.649422629021154,1,1.35057737097885,0.05,100,2,0.9,1,1
"omega",1000,920,0.92,0.336382124069419,1,1.66361787593058,0.05,100,2,0.9,1,1
"rho",1000,864,0.864,0.786706878004038,0.9,1.01329312199596,0.05,100,2,0.9,1,1
"beta",1000,920,0.922768304914744,0.435494805712354,1,1.56450519428765,0.05,125,2,-0.9,1,1
"omega",1000,891,0.893681043129388,-0.0534506847665905,1,2.05345068476659,0.05,125,2,-0.9,1,1
"rho",1000,929,0.931795386158475,-0.996311868391489,-0.9,-0.803688131608511,0.05,125,2,-0.9,1,1
"beta",1000,898,0.898,0.573292814473923,1,1.42670718552608,0.05,125,2,-0.8,1,1
"omega",1000,875,0.875,0.289055905664735,1,1.71094409433526,0.05,125,2,-0.8,1,1
"rho",1000,951,0.951,-0.965771504322832,-0.8,-0.634228495677168,0.05,125,2,-0.8,1,1
"beta",1000,919,0.91991991991992,0.573949554270876,1,1.42605044572912,0.05,125,2,-0.7,1,1
"omega",1000,903,0.903903903903904,0.243000030042202,1,1.7569999699578,0.05,125,2,-0.7,1,1
"rho",1000,935,0.935935935935936,-0.913917854432104,-0.7,-0.486082145567896,0.05,125,2,-0.7,1,1
"beta",1000,932,0.932,0.6133188180325,1,1.3866811819675,0.05,125,2,-0.6,1,1
"omega",1000,905,0.905,0.329053335679605,1,1.67094666432039,0.05,125,2,-0.6,1,1
"rho",1000,933,0.933,-0.873601309006601,-0.6,-0.326398690993399,0.05,125,2,-0.6,1,1
"beta",1000,939,0.93993993993994,0.621790028904231,1,1.37820997109577,0.05,125,2,-0.5,1,1
"omega",1000,912,0.912912912912913,0.325884850137547,1,1.67411514986245,0.05,125,2,-0.5,1,1
"rho",1000,918,0.918918918918919,-0.817797361194337,-0.5,-0.182202638805663,0.05,125,2,-0.5,1,1
"beta",1000,912,0.912912912912913,0.653195205395632,1,1.34680479460437,0.05,125,2,-0.4,1,1
"omega",1000,904,0.904904904904905,0.388724786982525,1,1.61127521301747,0.05,125,2,-0.4,1,1
"rho",1000,936,0.936936936936937,-0.789971826342124,-0.4,-0.0100281736578764,0.05,125,2,-0.4,1,1
"beta",1000,938,0.938938938938939,0.6513972146008,1,1.3486027853992,0.05,125,2,-0.3,1,1
"omega",1000,940,0.940940940940941,0.374580190476094,1,1.62541980952391,0.05,125,2,-0.3,1,1
"rho",1000,923,0.923923923923924,-0.737500015921605,-0.3,0.137500015921604,0.05,125,2,-0.3,1,1
"beta",1000,938,0.938,0.66031281899236,1,1.33968718100764,0.05,125,2,-0.2,1,1
"omega",1000,906,0.906,0.416883325992372,1,1.58311667400763,0.05,125,2,-0.2,1,1
"rho",1000,929,0.929,-0.697208786565952,-0.2,0.297208786565952,0.05,125,2,-0.2,1,1
"beta",1000,940,0.940940940940941,0.67180592987232,1,1.32819407012768,0.05,125,2,-0.1,1,1
"omega",1000,927,0.927927927927928,0.440113081606431,1,1.55988691839357,0.05,125,2,-0.1,1,1
"rho",1000,923,0.923923923923924,-0.650055962954663,-0.1,0.450055962954663,0.05,125,2,-0.1,1,1
"beta",1000,948,0.949899799599198,0.662450656034904,1,1.3375493439651,0.05,125,2,0,1,1
"omega",1000,937,0.938877755511022,0.404214313142477,1,1.59578568685752,0.05,125,2,0,1,1
"rho",1000,935,0.93687374749499,-0.605558588097975,0,0.605558588097975,0.05,125,2,0,1,1
"beta",1000,936,0.936,0.678343814314843,1,1.32165618568516,0.05,125,2,0.1,1,1
"omega",1000,938,0.938,0.431389130987453,1,1.56861086901255,0.05,125,2,0.1,1,1
"rho",1000,971,0.971,-0.517895107956792,0.1,0.717895107956792,0.05,125,2,0.1,1,1
"beta",1000,910,0.91,0.696928514232668,1,1.30307148576733,0.05,125,2,0.2,1,1
"omega",1000,923,0.923,0.442862744229255,1,1.55713725577075,0.05,125,2,0.2,1,1
"rho",1000,993,0.993,-0.490282880600159,0.2,0.890282880600159,0.05,125,2,0.2,1,1
"beta",1000,924,0.924,0.70434362328765,1,1.29565637671235,0.05,125,2,0.3,1,1
"omega",1000,919,0.919,0.47756599059395,1,1.52243400940605,0.05,125,2,0.3,1,1
"rho",1000,994,0.994,-0.394253384720701,0.3,0.994253384720701,0.05,125,2,0.3,1,1
"beta",1000,931,0.931,0.691703127817288,1,1.30829687218271,0.05,125,2,0.4,1,1
"omega",1000,923,0.923,0.427993382612595,1,1.5720066173874,0.05,125,2,0.4,1,1
"rho",1000,979,0.979,-0.283216014409662,0.4,1.08321601440966,0.05,125,2,0.4,1,1
"beta",1000,901,0.901,0.714084366813951,1,1.28591563318605,0.05,125,2,0.5,1,1
"omega",1000,894,0.894,0.505189866317503,1,1.4948101336825,0.05,125,2,0.5,1,1
"rho",1000,945,0.945,-0.0677585508840681,0.5,1.06775855088407,0.05,125,2,0.5,1,1
"beta",1000,919,0.919,0.712904929135312,1,1.28709507086469,0.05,125,2,0.6,1,1
"omega",1000,914,0.914,0.487679793606124,1,1.51232020639388,0.05,125,2,0.6,1,1
"rho",1000,891,0.891,0.148133779627675,0.6,1.05186622037233,0.05,125,2,0.6,1,1
"beta",1000,919,0.919,0.710412752703816,1,1.28958724729618,0.05,125,2,0.7,1,1
"omega",1000,895,0.895,0.49375075672385,1,1.50624924327615,0.05,125,2,0.7,1,1
"rho",1000,895,0.895,0.307588634527818,0.7,1.09241136547218,0.05,125,2,0.7,1,1
"beta",1000,919,0.921765295887663,0.701208022368794,1,1.29879197763121,0.05,125,2,0.8,1,1
"omega",1000,891,0.893681043129388,0.486119426612412,1,1.51388057338759,0.05,125,2,0.8,1,1
"rho",1000,844,0.84653961885657,0.582456887533887,0.8,1.01754311246611,0.05,125,2,0.8,1,1
"beta",1000,938,0.938938938938939,0.686434066847255,1,1.31356593315274,0.05,125,2,0.9,1,1
"omega",1000,912,0.912912912912913,0.40644212733408,1,1.59355787266592,0.05,125,2,0.9,1,1
"rho",1000,869,0.86986986986987,0.798667551133541,0.9,1.00133244886646,0.05,125,2,0.9,1,1
"beta",1000,915,0.919597989949749,0.484679618766367,1,1.51532038123363,0.05,150,2,-0.9,1,1
"omega",1000,896,0.900502512562814,0.0383354945567909,1,1.96166450544321,0.05,150,2,-0.9,1,1
"rho",1000,930,0.934673366834171,-0.987920304789146,-0.9,-0.812079695210854,0.05,150,2,-0.9,1,1
"beta",1000,925,0.92778335005015,0.610471415063043,1,1.38952858493696,0.05,150,2,-0.8,1,1
"omega",1000,912,0.914744232698094,0.350999804012491,1,1.64900019598751,0.05,150,2,-0.8,1,1
"rho",1000,934,0.936810431293882,-0.951327987181967,-0.8,-0.648672012818033,0.05,150,2,-0.8,1,1
"beta",1000,929,0.929,0.611070933731714,1,1.38892906626829,0.05,150,2,-0.7,1,1
"omega",1000,912,0.912,0.308956734038968,1,1.69104326596103,0.05,150,2,-0.7,1,1
"rho",1000,938,0.938,-0.895279390542617,-0.7,-0.504720609457383,0.05,150,2,-0.7,1,1
"beta",1000,942,0.942,0.647009990122734,1,1.35299000987727,0.05,150,2,-0.6,1,1
"omega",1000,908,0.908,0.387512295114788,1,1.61248770488521,0.05,150,2,-0.6,1,1
"rho",1000,923,0.923,-0.849762681176428,-0.6,-0.350237318823572,0.05,150,2,-0.6,1,1
"beta",1000,935,0.935,0.654743112262451,1,1.34525688773755,0.05,150,2,-0.5,1,1
"omega",1000,936,0.936,0.384619876773932,1,1.61538012322607,0.05,150,2,-0.5,1,1
"rho",1000,920,0.92,-0.790107972402925,-0.5,-0.209892027597075,0.05,150,2,-0.5,1,1
"beta",1000,917,0.917,0.68341198490707,1,1.31658801509293,0.05,150,2,-0.4,1,1
"omega",1000,920,0.92,0.441984628310923,1,1.55801537168908,0.05,150,2,-0.4,1,1
"rho",1000,925,0.925,-0.755993943465114,-0.4,-0.0440060565348859,0.05,150,2,-0.4,1,1
"beta",1000,931,0.932865731462926,0.681770651379543,1,1.31822934862046,0.05,150,2,-0.3,1,1
"omega",1000,926,0.927855711422846,0.429072437355288,1,1.57092756264471,0.05,150,2,-0.3,1,1
"rho",1000,930,0.93186372745491,-0.699381046048554,-0.3,0.0993810460485536,0.05,150,2,-0.3,1,1
"beta",1000,938,0.938938938938939,0.689909447444625,1,1.31009055255537,0.05,150,2,-0.2,1,1
"omega",1000,932,0.932932932932933,0.46768973998106,1,1.53231026001894,0.05,150,2,-0.2,1,1
"rho",1000,936,0.936936936936937,-0.653887446986572,-0.2,0.253887446986572,0.05,150,2,-0.2,1,1
"beta",1000,946,0.946946946946947,0.700401174252728,1,1.29959882574727,0.05,150,2,-0.1,1,1
"omega",1000,918,0.918918918918919,0.48889550857298,1,1.51110449142702,0.05,150,2,-0.1,1,1
"rho",1000,935,0.935935935935936,-0.602130098000825,-0.1,0.402130098000825,0.05,150,2,-0.1,1,1
"beta",1000,949,0.950901803607214,0.691861016732078,1,1.30813898326792,0.05,150,2,0,1,1
"omega",1000,937,0.938877755511022,0.456124566449043,1,1.54387543355096,0.05,150,2,0,1,1
"rho",1000,959,0.960921843687375,-0.552796830987067,0,0.552796830987067,0.05,150,2,0,1,1
"beta",1000,943,0.943,0.706369418898615,1,1.29363058110139,0.05,150,2,0.1,1,1
"omega",1000,934,0.934,0.480931667665354,1,1.51906833233465,0.05,150,2,0.1,1,1
"rho",1000,970,0.97,-0.464058481333375,0.1,0.664058481333375,0.05,150,2,0.1,1,1
"beta",1000,924,0.924,0.723334851181044,1,1.27666514881896,0.05,150,2,0.2,1,1
"omega",1000,921,0.921,0.491405595646396,1,1.5085944043536,0.05,150,2,0.2,1,1
"rho",1000,996,0.996,-0.430139174607254,0.2,0.830139174607254,0.05,150,2,0.2,1,1
"beta",1000,918,0.918918918918919,0.730103888674001,1,1.269896111326,0.05,150,2,0.3,1,1
"omega",1000,904,0.904904904904905,0.523085180400733,1,1.47691481959927,0.05,150,2,0.3,1,1
"rho",1000,992,0.992992992992993,-0.333763732393067,0.3,0.933763732393067,0.05,150,2,0.3,1,1
"beta",1000,918,0.918,0.718564747828736,1,1.28143525217126,0.05,150,2,0.4,1,1
"omega",1000,944,0.944,0.477831787691153,1,1.52216821230885,0.05,150,2,0.4,1,1
"rho",1000,982,0.982,-0.223688037901577,0.4,1.02368803790158,0.05,150,2,0.4,1,1
"beta",1000,903,0.903,0.738995930267714,1,1.26100406973229,0.05,150,2,0.5,1,1
"omega",1000,886,0.886,0.548302213499916,1,1.45169778650008,0.05,150,2,0.5,1,1
"rho",1000,936,0.936,-0.018290275892748,0.5,1.01829027589275,0.05,150,2,0.5,1,1
"beta",1000,921,0.921,0.73791925589811,1,1.26208074410189,0.05,150,2,0.6,1,1
"omega",1000,903,0.903,0.532317777153953,1,1.46768222284605,0.05,150,2,0.6,1,1
"rho",1000,916,0.916,0.187504463545795,0.6,1.0124955364542,0.05,150,2,0.6,1,1
"beta",1000,936,0.936936936936937,0.735644220483422,1,1.26435577951658,0.05,150,2,0.7,1,1
"omega",1000,901,0.901901901901902,0.53785978289622,1,1.46214021710378,0.05,150,2,0.7,1,1
"rho",1000,906,0.906906906906907,0.34177907218247,0.7,1.05822092781753,0.05,150,2,0.7,1,1
"beta",1000,913,0.913913913913914,0.727241489749682,1,1.27275851025032,0.05,150,2,0.8,1,1
"omega",1000,894,0.894894894894895,0.530893363486548,1,1.46910663651345,0.05,150,2,0.8,1,1
"rho",1000,838,0.838838838838839,0.601411216787377,0.8,0.998588783212623,0.05,150,2,0.8,1,1
"beta",1000,919,0.922690763052209,0.713754775245141,1,1.28624522475486,0.05,150,2,0.9,1,1
"omega",1000,925,0.928714859437751,0.458158273260161,1,1.54184172673984,0.05,150,2,0.9,1,1
"rho",1000,908,0.911646586345382,0.80749655324767,0.9,0.99250344675233,0.05,150,2,0.9,1,1
"beta",1000,924,0.928643216080402,0.553719458763792,1,1.44628054123621,0.05,200,2,-0.9,1,1
"omega",1000,908,0.912562814070352,0.167174108368382,1,1.83282589163162,0.05,200,2,-0.9,1,1
"rho",1000,942,0.946733668341709,-0.976141217455871,-0.9,-0.823858782544129,0.05,200,2,-0.9,1,1
"beta",1000,915,0.916833667334669,0.662658349944391,1,1.33734165005561,0.05,200,2,-0.8,1,1
"omega",1000,899,0.900801603206413,0.437949343213738,1,1.56205065678626,0.05,200,2,-0.8,1,1
"rho",1000,937,0.938877755511022,-0.93105388120315,-0.8,-0.668946118796851,0.05,200,2,-0.8,1,1
"beta",1000,940,0.940940940940941,0.663177548341502,1,1.3368224516585,0.05,200,2,-0.7,1,1
"omega",1000,926,0.926926926926927,0.40153897656358,1,1.59846102343642,0.05,200,2,-0.7,1,1
"rho",1000,943,0.943943943943944,-0.869116913045449,-0.7,-0.530883086954551,0.05,200,2,-0.7,1,1
"beta",1000,936,0.937875751503006,0.694301684164167,1,1.30569831583583,0.05,200,2,-0.6,1,1
"omega",1000,915,0.916833667334669,0.469570088063781,1,1.53042991193622,0.05,200,2,-0.6,1,1
"rho",1000,933,0.934869739478958,-0.8163008268161,-0.6,-0.3836991731839,0.05,200,2,-0.6,1,1
"beta",1000,931,0.931931931931932,0.70099876438773,1,1.29900123561227,0.05,200,2,-0.5,1,1
"omega",1000,922,0.922922922922923,0.467065180302227,1,1.53293481969777,0.05,200,2,-0.5,1,1
"rho",1000,935,0.935935935935936,-0.751240873941328,-0.5,-0.248759126058672,0.05,200,2,-0.5,1,1
"beta",1000,931,0.931931931931932,0.725826736395831,1,1.27417326360417,0.05,200,2,-0.4,1,1
"omega",1000,920,0.920920920920921,0.516744512415043,1,1.48325548758496,0.05,200,2,-0.4,1,1
"rho",1000,938,0.938938938938939,-0.70829979863419,-0.4,-0.0917002013658099,0.05,200,2,-0.4,1,1
"beta",1000,949,0.94994994994995,0.72440529986491,1,1.27559470013509,0.05,200,2,-0.3,1,1
"omega",1000,923,0.923923923923924,0.505562227028947,1,1.49443777297105,0.05,200,2,-0.3,1,1
"rho",1000,944,0.944944944944945,-0.64587413166805,-0.3,0.0458741316680501,0.05,200,2,-0.3,1,1
"beta",1000,950,0.95,0.731453704013492,1,1.26854629598651,0.05,200,2,-0.2,1,1
"omega",1000,938,0.938,0.539005792128498,1,1.4609942078715,0.05,200,2,-0.2,1,1
"rho",1000,949,0.949,-0.593078059549234,-0.2,0.193078059549234,0.05,200,2,-0.2,1,1
"beta",1000,938,0.938,0.740539805958875,1,1.25946019404112,0.05,200,2,-0.1,1,1
"omega",1000,939,0.939,0.557370526435875,1,1.44262947356412,0.05,200,2,-0.1,1,1
"rho",1000,931,0.931,-0.534857420873484,-0.1,0.334857420873484,0.05,200,2,-0.1,1,1
"beta",1000,939,0.93993993993994,0.733143812593671,1,1.26685618740633,0.05,200,2,0,1,1
"omega",1000,937,0.937937937937938,0.528990058050596,1,1.4710099419494,0.05,200,2,0,1,1
"rho",1000,948,0.948948948948949,-0.478736098766333,0,0.478736098766333,0.05,200,2,0,1,1
"beta",1000,947,0.948897795591182,0.745708457438214,1,1.25429154256179,0.05,200,2,0.1,1,1
"omega",1000,937,0.938877755511022,0.550473637898173,1,1.44952636210183,0.05,200,2,0.1,1,1
"rho",1000,947,0.948897795591182,-0.388488974054773,0.1,0.588488974054773,0.05,200,2,0.1,1,1
"beta",1000,930,0.93,0.760400952780982,1,1.23959904721902,0.05,200,2,0.2,1,1
"omega",1000,923,0.923,0.559544325607164,1,1.44045567439284,0.05,200,2,0.2,1,1
"rho",1000,985,0.985,-0.34571653312964,0.2,0.74571653312964,0.05,200,2,0.2,1,1
"beta",1000,931,0.931,0.766263111209052,1,1.23373688879095,0.05,200,2,0.3,1,1
"omega",1000,921,0.921,0.586979650785763,1,1.41302034921424,0.05,200,2,0.3,1,1
"rho",1000,992,0.992,-0.248855492249639,0.3,0.848855492249639,0.05,200,2,0.3,1,1
"beta",1000,946,0.946946946946947,0.756269922099206,1,1.24373007790079,0.05,200,2,0.4,1,1
"omega",1000,948,0.948948948948949,0.547789063091832,1,1.45221093690817,0.05,200,2,0.4,1,1
"rho",1000,987,0.987987987987988,-0.140129684859238,0.4,0.940129684859238,0.05,200,2,0.4,1,1
"beta",1000,928,0.928928928928929,0.773963845120715,1,1.22603615487928,0.05,200,2,0.5,1,1
"omega",1000,916,0.916916916916917,0.608818242057727,1,1.39118175794227,0.05,200,2,0.5,1,1
"rho",1000,952,0.952952952952953,0.0511474545424348,0.5,0.948852545457565,0.05,200,2,0.5,1,1
"beta",1000,931,0.931,0.773031417765035,1,1.22696858223497,0.05,200,2,0.6,1,1
"omega",1000,919,0.919,0.594975314116948,1,1.40502468588305,0.05,200,2,0.6,1,1
"rho",1000,911,0.911,0.242768386482968,0.6,0.957231613517032,0.05,200,2,0.6,1,1
"beta",1000,939,0.939,0.771061179301405,1,1.22893882069859,0.05,200,2,0.7,1,1
"omega",1000,924,0.924,0.599774831877671,1,1.40022516812233,0.05,200,2,0.7,1,1
"rho",1000,896,0.896,0.389771576342787,0.7,1.01022842365721,0.05,200,2,0.7,1,1
"beta",1000,940,0.940940940940941,0.763784201024827,1,1.23621579897517,0.05,200,2,0.8,1,1
"omega",1000,925,0.925925925925926,0.593741735695478,1,1.40625826430452,0.05,200,2,0.8,1,1
"rho",1000,903,0.903903903903904,0.628017068831228,0.8,0.971982931168772,0.05,200,2,0.8,1,1
"beta",1000,944,0.946840521564694,0.752104363650306,1,1.24789563634969,0.05,200,2,0.9,1,1
"omega",1000,939,0.941825476429288,0.530751299812873,1,1.46924870018713,0.05,200,2,0.9,1,1
"rho",1000,921,0.923771313941825,0.819889665174861,0.9,0.980110334825139,0.05,200,2,0.9,1,1
"beta",1000,929,0.931795386158475,0.635613463946061,1,1.36438653605394,0.05,300,2,-0.9,1,1
"omega",1000,914,0.916750250752257,0.320000506974699,1,1.6799994930253,0.05,300,2,-0.9,1,1
"rho",1000,950,0.952858575727182,-0.962169043720393,-0.9,-0.837830956279607,0.05,300,2,-0.9,1,1
"beta",1000,908,0.910732196589769,0.724561696125078,1,1.27543830387492,0.05,300,2,-0.8,1,1
"omega",1000,883,0.885656970912738,0.541087560425834,1,1.45891243957417,0.05,300,2,-0.8,1,1
"rho",1000,958,0.960882647943831,-0.90700504591968,-0.8,-0.69299495408032,0.05,300,2,-0.8,1,1
"beta",1000,945,0.945,0.724985619841143,1,1.27501438015886,0.05,300,2,-0.7,1,1
"omega",1000,929,0.929,0.511358620545656,1,1.48864137945434,0.05,300,2,-0.7,1,1
"rho",1000,937,0.937,-0.83808338127866,-0.7,-0.561916618721339,0.05,300,2,-0.7,1,1
"beta",1000,939,0.939,0.750398370324678,1,1.24960162967532,0.05,300,2,-0.6,1,1
"omega",1000,920,0.92,0.566905790482282,1,1.43309420951772,0.05,300,2,-0.6,1,1
"rho",1000,948,0.948,-0.776608885547186,-0.6,-0.423391114452814,0.05,300,2,-0.6,1,1
"beta",1000,929,0.929,0.755866513429416,1,1.24413348657058,0.05,300,2,-0.5,1,1
"omega",1000,934,0.934,0.564860541859434,1,1.43513945814057,0.05,300,2,-0.5,1,1
"rho",1000,931,0.931,-0.705137314562388,-0.5,-0.294862685437612,0.05,300,2,-0.5,1,1
"beta",1000,935,0.935,0.7761384676854,1,1.2238615323146,0.05,300,2,-0.4,1,1
"omega",1000,931,0.931,0.605423546672322,1,1.39457645332768,0.05,300,2,-0.4,1,1
"rho",1000,946,0.946,-0.651725731485523,-0.4,-0.148274268514477,0.05,300,2,-0.4,1,1
"beta",1000,936,0.936936936936937,0.774977869617897,1,1.2250221303821,0.05,300,2,-0.3,1,1
"omega",1000,955,0.955955955955956,0.596293248887616,1,1.40370675111238,0.05,300,2,-0.3,1,1
"rho",1000,942,0.942942942942943,-0.582405045938309,-0.3,-0.017594954061691,0.05,300,2,-0.3,1,1
"beta",1000,938,0.938,0.780732867506211,1,1.21926713249379,0.05,300,2,-0.2,1,1
"omega",1000,926,0.926,0.623599805445433,1,1.37640019455457,0.05,300,2,-0.2,1,1
"rho",1000,944,0.944,-0.520946891659655,-0.2,0.120946891659655,0.05,300,2,-0.2,1,1
"beta",1000,929,0.929,0.788151638678577,1,1.21184836132142,0.05,300,2,-0.1,1,1
"omega",1000,929,0.929,0.638594548217053,1,1.36140545178295,0.05,300,2,-0.1,1,1
"rho",1000,949,0.949,-0.455059597334249,-0.1,0.255059597334249,0.05,300,2,-0.1,1,1
"beta",1000,954,0.954954954954955,0.782112835383324,1,1.21788716461668,0.05,300,2,0,1,1
"omega",1000,951,0.951951951951952,0.615421992815345,1,1.38457800718466,0.05,300,2,0,1,1
"rho",1000,949,0.94994994994995,-0.390886387809389,0,0.390886387809389,0.05,300,2,0,1,1
"beta",1000,953,0.953,0.792371824939464,1,1.20762817506054,0.05,300,2,0.1,1,1
"omega",1000,951,0.951,0.63296326230698,1,1.36703673769302,0.05,300,2,0.1,1,1
"rho",1000,947,0.947,-0.298849577136615,0.1,0.498849577136615,0.05,300,2,0.1,1,1
"beta",1000,944,0.944944944944945,0.804368197152131,1,1.19563180284787,0.05,300,2,0.2,1,1
"omega",1000,948,0.948948948948949,0.640369447808034,1,1.35963055219197,0.05,300,2,0.2,1,1
"rho",1000,970,0.970970970970971,-0.245575683456083,0.2,0.645575683456083,0.05,300,2,0.2,1,1
"beta",1000,929,0.92992992992993,0.809154629465507,1,1.19084537053449,0.05,300,2,0.3,1,1
"omega",1000,934,0.934934934934935,0.662770297013,1,1.337229702987,0.05,300,2,0.3,1,1
"rho",1000,979,0.97997997997998,-0.148138632845234,0.3,0.748138632845234,0.05,300,2,0.3,1,1
"beta",1000,930,0.93186372745491,0.800995224724753,1,1.19900477527525,0.05,300,2,0.4,1,1
"omega",1000,958,0.959919839679359,0.630771316156357,1,1.36922868384364,0.05,300,2,0.4,1,1
"rho",1000,974,0.975951903807615,-0.0410140409451378,0.4,0.841014040945138,0.05,300,2,0.4,1,1
"beta",1000,931,0.931,0.815442252375014,1,1.18455774762499,0.05,300,2,0.5,1,1
"omega",1000,919,0.919,0.680601432118837,1,1.31939856788116,0.05,300,2,0.5,1,1
"rho",1000,946,0.946,0.133513431293191,0.5,0.866486568706809,0.05,300,2,0.5,1,1
"beta",1000,937,0.937937937937938,0.814680928627137,1,1.18531907137286,0.05,300,2,0.6,1,1
"omega",1000,928,0.928928928928929,0.669298728785162,1,1.33070127121484,0.05,300,2,0.6,1,1
"rho",1000,908,0.908908908908909,0.308321608964049,0.6,0.891678391035951,0.05,300,2,0.6,1,1
"beta",1000,928,0.929859719438878,0.813072235657972,1,1.18692776434203,0.05,300,2,0.7,1,1
"omega",1000,923,0.924849699398798,0.673217518626894,1,1.32678248137311,0.05,300,2,0.7,1,1
"rho",1000,909,0.910821643286573,0.446699552777288,0.7,0.953300447222712,0.05,300,2,0.7,1,1
"beta",1000,940,0.94,0.80713060777566,1,1.19286939222434,0.05,300,2,0.8,1,1
"omega",1000,909,0.909,0.668291516221725,1,1.33170848377827,0.05,300,2,0.8,1,1
"rho",1000,914,0.914,0.659576524722769,0.8,0.940423475277231,0.05,300,2,0.8,1,1
"beta",1000,934,0.937751004016064,0.797594060493572,1,1.20240593950643,0.05,300,2,0.9,1,1
"omega",1000,933,0.936746987951807,0.616860040692431,1,1.38313995930757,0.05,300,2,0.9,1,1
"rho",1000,936,0.939759036144578,0.834590185518298,0.9,0.965409814481702,0.05,300,2,0.9,1,1
"beta",1000,934,0.936810431293882,0.717747402856177,1,1.28225259714382,0.05,500,2,-0.9,1,1
"omega",1000,923,0.925777331995988,0.473274657616705,1,1.5267253423833,0.05,500,2,-0.9,1,1
"rho",1000,935,0.937813440320963,-0.948155934195745,-0.9,-0.851844065804255,0.05,500,2,-0.9,1,1
