"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","Tfull","N","n_reps","beta_free","omega_var"
0.0507895085241545,0.330802520919679,0.192293756824952,0.710841507974743,-0.142282553647444,0.250935267295038,0.9,3,30,1000,1,1
0.0104763438419731,0.31260046267142,0.0311289489764704,0.490661006733034,0.0119156436525426,0.0466270686426661,-0.9,4,30,1000,1,1
0.0249266373847572,0.300035839106161,0.0565538042256645,0.474229543227975,0.0258770536824476,0.0862466231684409,-0.8,4,30,1000,1,1
0.0312162176076929,0.291483603968581,0.0246900581764968,0.450473362324954,0.0357778646203524,0.122550503653719,-0.7,4,30,1000,1,1
0.0209409294816887,0.28267714242603,0.0223049856604079,0.442673787891207,0.0509236452837176,0.159748433684028,-0.6,4,30,1000,1,1
0.0241775935157506,0.276831996621417,0.0116134243234619,0.434988838429729,0.0712553995388156,0.199145448503973,-0.5,4,30,1000,1,1
0.0245340948394377,0.274540650145409,0.010248203991511,0.429143596265992,0.0768370183680286,0.233563880250956,-0.4,4,30,1000,1,1
0.0361482024157589,0.273824116485848,0.0233538191574385,0.435029564759045,0.0834195034062994,0.25902410457545,-0.3,4,30,1000,1,1
0.0409247352451939,0.271690660226657,0.0393194050389044,0.439065706864689,0.0780948153351982,0.282634367779748,-0.2,4,30,1000,1,1
0.0298626987181872,0.268619115281094,0.0331878066344955,0.43922256057401,0.0812116669003233,0.306568364335244,-0.1,4,30,1000,1,1
0.0410053839580573,0.270932819940453,0.0546346586299578,0.450631479815398,0.0585409652542091,0.327759341310145,0,4,30,1000,1,1
0.0397012032373426,0.265327327463755,0.0140098202777378,0.430963309320538,0.0405737838269596,0.339130055985562,0.1,4,30,1000,1,1
0.0348058355901413,0.265088606771189,0.0329207143895291,0.439282795405064,-0.00102345008818833,0.35277549120769,0.2,4,30,1000,1,1
0.0382483000145797,0.265980824856178,0.0333476503959594,0.442571000208371,-0.0215169908442283,0.362658493006453,0.3,4,30,1000,1,1
0.0654069591876537,0.268714627064236,0.0574130955940602,0.460422723251637,-0.0571386536860888,0.359296797658701,0.4,4,30,1000,1,1
0.0309004728513544,0.26429842234532,0.0299785631447822,0.445869019608884,-0.100826779057447,0.359853627110451,0.5,4,30,1000,1,1
0.0505738077889285,0.267077294221197,0.0223863701170451,0.451336706143459,-0.130078742297693,0.349050986836168,0.6,4,30,1000,1,1
0.024142549427252,0.271054527596459,0.0644953430915325,0.480274012965629,-0.146793788733311,0.321529570389976,0.7,4,30,1000,1,1
0.0307293612860496,0.27260561095652,0.0463472548683787,0.491613505733221,-0.13358760918984,0.26802561785438,0.8,4,30,1000,1,1
0.0296885603045594,0.285043826231359,0.076297709125973,0.553772277307168,-0.0999348960593261,0.168189775970029,0.9,4,30,1000,1,1
0.0549097605988425,0.325871368477127,0.0846799610507302,0.560048025126912,0.0121654314314398,0.0521185265313903,-0.9,3,40,1000,1,1
0.0453668061077138,0.305101258313044,0.102637717262057,0.520342323010566,0.0218357646658612,0.0947270058597577,-0.8,3,40,1000,1,1
0.0292503675429697,0.291657346069921,0.0657423842119527,0.485689144818807,0.0370890883985549,0.141485228457621,-0.7,3,40,1000,1,1
0.0559179337223123,0.284592424937445,0.0667632870330873,0.470100659500972,0.0472835516564369,0.182114165450372,-0.6,3,40,1000,1,1
0.0349476782064762,0.277757562679033,0.0539452275743113,0.458961850179556,0.0596276120816679,0.226226364803503,-0.5,3,40,1000,1,1
0.0330344198984731,0.271963606312887,0.0490232140374226,0.451363739602691,0.0943651390721477,0.267014791314564,-0.4,3,40,1000,1,1
0.0228229642443846,0.265041127162587,0.0295269966697431,0.439775455430165,0.0981308151960408,0.298129455100709,-0.3,3,40,1000,1,1
0.0595114678121907,0.269239817930863,0.0549899265251913,0.452168575758574,0.0881204071591945,0.330976123702624,-0.2,3,40,1000,1,1
0.0554284138799384,0.266667956308251,0.069424874334687,0.457239683245376,0.0799851732680845,0.366559369710123,-0.1,3,40,1000,1,1
0.0337072037099918,0.260655117917141,0.0519318244010183,0.447911221285258,0.0634013560378931,0.387473912175366,0,3,40,1000,1,1
0.0496275879602384,0.262818223427385,0.071010170094636,0.459485823239515,0.0572791057442597,0.411897502754893,0.1,3,40,1000,1,1
0.0470629038110457,0.260956211869844,0.0626717429393135,0.453266416480953,0.0148628912538965,0.426421265052517,0.2,3,40,1000,1,1
0.0652279005733065,0.260026355032961,0.0508381163697991,0.45184055607279,0.00275905480639417,0.426028410993166,0.3,3,40,1000,1,1
0.0751404115178171,0.26305168325278,0.0826567262446872,0.465310030761528,-0.0527681600563527,0.431375346228142,0.4,3,40,1000,1,1
0.0605738357474441,0.260695400507784,0.0642253146214334,0.46349898478657,-0.0753103436551618,0.423394452744229,0.5,3,40,1000,1,1
