"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull","beta_estimate_sd","omega_estimate_sd","rho_estimate_sd"
0.129137282941659,0.426276640637448,0.257114252216187,0.897743956215517,-0.10009754880421,0.70796597508228,0.4,20,500,1,1,3,0.402315287549746,1.03199990710203,0.373186214292973
0.0842675482387322,0.405588415371991,0.158660499522059,0.790203702111896,-0.146031755213102,0.693780155682106,0.5,20,500,1,1,3,0.398674875181643,0.778265581873238,0.341496985261342
0.11103431975147,0.427356118239253,0.238209887531402,0.883368263863346,-0.205322972349257,0.656489593647539,0.6,20,500,1,1,3,0.399687023107205,0.9061883808338,0.385883595453195
0.101090777934042,0.420120831472899,0.16935202440726,0.845366104963214,-0.194843939286728,0.66016089994809,0.7,20,500,1,1,3,0.424999680323782,0.924982389532513,0.315456034856291
0.107053137837475,0.417970209466834,0.188426481431032,0.878909962845007,-0.234893665105156,0.582811597649024,0.8,20,500,1,1,3,0.39481767844583,0.881998839794088,0.335042866982923
0.095609047468222,0.439131717672099,0.31690724614597,1.03467606049619,-0.197604236887553,0.436111117271323,0.9,20,500,1,1,3,0.429240659900684,1.37224002480523,0.31171903224516
0.0905087910338068,0.404226248560624,0.209385617439052,0.750942703934174,0.00625955796199928,0.0582546553785059,-0.9,30,500,1,1,3,0.40362792931989,0.762626570918128,0.0589349443906682
0.0423680327959564,0.367929052328649,0.119802233910529,0.667600268081024,0.0283983139677329,0.119325015498508,-0.8,30,500,1,1,3,0.334667332749944,0.783251356126117,0.124039987053054
0.0439653758198336,0.34723348761231,0.112711017593356,0.604553988482779,0.0548770346234528,0.173886786259088,-0.7,30,500,1,1,3,0.355385738671722,0.628124050229545,0.183934829960972
0.0774868165897456,0.351597267606825,0.155360599226041,0.626345139174401,0.0787003300252478,0.23018821092709,-0.6,30,500,1,1,3,0.363356096461641,0.615309207655245,0.260531973346979
0.0394678795795478,0.325526187038157,0.0450584869688664,0.544026929336416,0.0969361134658396,0.265958173834936,-0.5,30,500,1,1,3,0.325135125708917,0.592235002729994,0.298534988572758
0.0797680702678387,0.33191358287268,0.102760290397205,0.575613582913543,0.107451372903868,0.323090872411533,-0.4,30,500,1,1,3,0.333166168128135,0.614997833964954,0.323795820946583
0.0381464508274716,0.314408084183749,0.0276248927871727,0.522495742263802,0.108387366380685,0.364458931673268,-0.3,30,500,1,1,3,0.301844220443355,0.498720848750573,0.339764866455732
0.025927474124545,0.312701738570214,0.034287410044545,0.529880528387073,0.139355842143704,0.408546392372898,-0.2,30,500,1,1,3,0.287239993275836,0.486039038604769,0.364011591277057
0.0414764687840622,0.309169504624214,0.0328339209425446,0.5307461122736,0.128455993898498,0.449125948997782,-0.1,30,500,1,1,3,0.279484211686113,0.525446626392413,0.355601442871218
0.064236708402562,0.315023694642588,0.0939663004995735,0.567065989263081,0.0849744724708759,0.458848809811716,0,30,500,1,1,3,0.319838528362796,0.623669434795424,0.369770053057834
0.0834384525169533,0.320440264049805,0.147849736487053,0.591632693616551,0.0461183631945577,0.469417890188596,0.1,30,500,1,1,3,0.313336020735982,0.582533896240873,0.367623875465169
0.0460648317275119,0.311271038062043,0.0734587836745365,0.553015904861411,0.0274063041534278,0.517460197678326,0.2,30,500,1,1,3,0.297222017385797,0.534889888484239,0.345510670329926
0.0701966143618334,0.314933728728201,0.0969451002581605,0.565349252506998,-0.018719547022222,0.509015707582696,0.3,30,500,1,1,3,0.298428744630663,0.534079592873345,0.344292658834408
0.0955069587561771,0.319063523755542,0.154373713764596,0.611799545697611,-0.0546047955934633,0.51907483323619,0.4,30,500,1,1,3,0.295122667125253,0.685560719921312,0.354790664622994
0.0889432442793059,0.317860530873774,0.149396546959354,0.603694158550469,-0.12609281597442,0.504265478332864,0.5,30,500,1,1,3,0.324156537353524,0.654454829861833,0.331820132935818
0.0796762772931208,0.319774155944085,0.161224003659708,0.622353943250029,-0.156749059966536,0.503664150174055,0.6,30,500,1,1,3,0.315389805998377,0.71599402577785,0.334586278883122
0.058098467570547,0.31837648726111,0.123849756814149,0.593511969012024,-0.17782735206388,0.457920396377103,0.7,30,500,1,1,3,0.315300703512118,0.570907024199726,0.306474701124738
0.0518148877535174,0.31410298848623,0.107164376412152,0.608134869091984,-0.171213893242272,0.397045793882113,0.8,30,500,1,1,3,0.275481874258252,0.588656059099352,0.281913278472963
0.0617901797348766,0.330649200090468,0.185018031337224,0.704466162256253,-0.105529894698046,0.220215473702574,0.9,30,500,1,1,3,0.310101446357955,0.754087456724701,0.22782802814467
0.0193732761652045,0.320515985845473,0.0700636407627373,0.533902822879227,0.0111230785478263,0.0506640403838784,-0.9,40,500,1,1,3,0.305499898587089,0.530817680770787,0.0487882035942872
0.0491848539856686,0.304147611066905,0.0806521450944844,0.505603759096643,0.023353000275307,0.0969974372520033,-0.8,40,500,1,1,3,0.305180124962347,0.55443340612688,0.0932737029759153
0.0398235830760351,0.295164409713052,0.077566588207108,0.486834266666628,0.0255261097255294,0.135808754175673,-0.7,40,500,1,1,3,0.2853177368927,0.479118422973915,0.1339738428369
0.0501293532849387,0.285416149472539,0.0732213814520382,0.474765088555249,0.0466539191031925,0.17888467082209,-0.6,40,500,1,1,3,0.286821169336734,0.479024877395878,0.201449621318869
0.0307978877933693,0.277865960516704,0.0527994451438755,0.45973048497251,0.0842948459225577,0.235224587793201,-0.5,40,500,1,1,3,0.274339512092363,0.484098194940166,0.249894598093256
0.0245576338672301,0.271268580608805,0.0498308333896035,0.450633198216086,0.0642230257890452,0.263747953758608,-0.4,40,500,1,1,3,0.257170694189215,0.426073811425632,0.274805753498412
0.0332398812025156,0.269283713613107,0.0455751768848544,0.444401554071745,0.0924636008498379,0.308659215008727,-0.3,40,500,1,1,3,0.244342858433894,0.423364855283033,0.302125637804732
0.0577881041408475,0.268963046863599,0.0380541720400722,0.445097107030162,0.0756190463360148,0.329012995450475,-0.2,40,500,1,1,3,0.272561895324678,0.444050935022813,0.327883121474873
