"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull","beta_estimate_sd","omega_estimate_sd","rho_estimate_sd"
"1.00246928518735",5.05082855068225,2.33414429265583,18.1263452600543,0.192196025464826,0.713304524172737,-0.6,30,500,2.4,1,2,NA,NA,NA
"0.594479509020697",2.89739825411702,1.28672885641107,10.4992482232387,0.252291278884964,1.11351325886436,-0.3,30,500,2.4,1,2,NA,NA,NA
"0.585469715254101",2.21379348641261,0.852233388188531,5.15435989018659,0.119236142940088,1.38691962737768,0,30,500,2.4,1,2,NA,NA,NA
"0.5369274797835",2.85163402136871,0.906813140386105,12.2447205017085,0.0139513252081284,1.35524573867596,0.3,30,500,2.4,1,2,NA,NA,NA
"0.696444647185427",3.75118240646774,1.59067212375299,29.0495245903356,-0.162737259868992,1.46733897574132,0.6,30,500,2.4,1,2,NA,NA,NA
"0.529836331035912",2.39397984617944,1.43017537734002,15.4642007418235,-0.163193891853121,0.737613542305542,0.9,30,500,2.4,1,2,NA,NA,NA
"0.964152479934664",5.78655298336082,1.81369903465152,13.2284605822841,0.0626210285661085,0.229965016133802,-0.9,30,500,2.5,1,2,NA,NA,NA
"0.876481229988322",4.64827737780814,1.57678557985979,12.8414758045653,0.197481184658346,0.748945637243303,-0.6,30,500,2.5,1,2,NA,NA,NA
"0.851399429914061",4.55250752850215,2.2483304236074,23.8520323744951,0.248977439778771,1.08839732426589,-0.3,30,500,2.5,1,2,NA,NA,NA
"0.637098266422114",2.33345660650075,0.83725723114877,5.00002216591498,0.128528491633136,1.37755433501669,0,30,500,2.5,1,2,NA,NA,NA
"0.772834735307257",4.0364303547564,1.80038895228709,32.4613455339443,-0.0376911429143339,1.7268090839358,0.3,30,500,2.5,1,2,NA,NA,NA
"0.810196939135651",2.89784472986595,1.78455229044771,11.9499388343658,-0.174899188408794,1.80687131962387,0.6,30,500,2.5,1,2,NA,NA,NA
"0.491103210365849",1.85695686660814,0.773527890505527,3.11041128574695,-0.170428275455056,0.926829915279814,0.9,30,500,2.5,1,2,NA,NA,NA
