"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull"
0.0656923331118186,0.334070523477668,0.128304888613935,0.617634606855171,-0.0391151604834413,0.601369946418125,0.5,30,500,1,1,3
0.0752007333886055,0.330845653300878,0.11964848891075,0.605658541584855,-0.104875447119322,0.578307098871996,0.6,30,500,1,1,3
0.0765194557869574,0.333640471768666,0.165280394544759,0.663202018541232,-0.145450151558136,0.564452478766256,0.7,30,500,1,1,3
0.0658376040648726,0.336071684015735,0.12343935729541,0.644128588648396,-0.174144220743934,0.49966956518688,0.8,30,500,1,1,3
0.05738954544673,0.338214113267928,0.128283562427266,0.675855451875257,-0.171305452058878,0.391502424336847,0.9,30,500,1,1,3
0.0285814213160813,0.27336860669332,0.0427404891754312,0.460032746877015,0.124338557000072,0.439530776284233,0.1,40,500,1,1,3
0.055221498114074,0.274196931645725,0.0404152402663461,0.459594309016146,0.0511163406056784,0.471018595966402,0.2,40,500,1,1,3
0.0492132174373214,0.273901590552703,0.0614119885959623,0.474104264066141,0.035806153813584,0.482393543759392,0.3,40,500,1,1,3
0.044342021022373,0.272058909470456,0.0676425279279895,0.473717526276269,-0.0153834617971497,0.50713264028546,0.4,40,500,1,1,3
0.052642262824503,0.274203316123601,0.0826074606114612,0.485872220335732,-0.044418276618423,0.494119792846619,0.5,40,500,1,1,3
0.0600813326253641,0.273562143976645,0.0648845367081895,0.482942079060388,-0.0638488595868342,0.462944822109339,0.6,40,500,1,1,3
0.0508395545310601,0.274817482822995,0.105395085309856,0.503274766616788,-0.12319121471042,0.454802963705715,0.7,40,500,1,1,3
0.0575512606050267,0.280195424371285,0.121532643019311,0.527153109262725,-0.158081030430007,0.415771091018207,0.8,40,500,1,1,3
0.0431934429064514,0.281881992324892,0.0892765321039606,0.54328034743452,-0.148129706782851,0.277579355458525,0.9,40,500,1,1,3
0.0257810704133305,0.23989269500255,0.0397041619117456,0.398231388773225,0.0881327682024059,0.391711012668948,0.1,50,500,1,1,3
0.0513756038097927,0.242310897054333,0.0512938898906406,0.405919056080882,0.043611094281028,0.410101638932583,0.2,50,500,1,1,3
0.0460807763713252,0.240353110487279,0.0600431733992657,0.407450967404472,0.0303883351224857,0.42914953429552,0.3,50,500,1,1,3
0.0401235597059017,0.237534008377399,0.0260663527385359,0.39541484753273,0.0139108426890956,0.432993166615666,0.4,50,500,1,1,3
0.0395584557626649,0.241049546497174,0.091423165811962,0.425964090737124,-0.0696177258842257,0.433687782814327,0.5,50,500,1,1,3
0.068788317271615,0.238762819161911,0.062152360277401,0.419172838874561,-0.0861338736630672,0.414230009785522,0.6,50,500,1,1,3
0.0348668012140763,0.23926118071272,0.0537971039922619,0.422490118877232,-0.101513175935994,0.387091385747533,0.7,50,500,1,1,3
0.0488645250357224,0.245339658557643,0.114115434808504,0.460102194890688,-0.154724773926976,0.347540114141031,0.8,50,500,1,1,3
0.0332686384226455,0.246504450339491,0.0888320755616626,0.479795390829482,-0.108854286671278,0.214341651912629,0.9,50,500,1,1,3
0.019128086743862,0.216185207450787,0.0436512431679203,0.356257989309257,0.0851124087698991,0.357776257309396,0.1,60,500,1,1,3
0.0350520148615827,0.214008811422565,0.0303372996373175,0.354608880994306,0.0759926721511135,0.38119594355696,0.2,60,500,1,1,3
0.020018043017517,0.210476749096674,0.0111261576249323,0.348853049041236,0.044119422338723,0.381668446686186,0.3,60,500,1,1,3
0.0529844219893851,0.213620520979744,0.0338165682502846,0.359029897324929,0.0320048214489038,0.385517945948328,0.4,60,500,1,1,3
0.0506339103672803,0.215638177394884,0.0671761319323611,0.374912314151013,-0.0370465023278979,0.395532135276506,0.5,60,500,1,1,3
0.0315720967346079,0.21313255507632,0.0217404433237954,0.36020912865395,-0.0640339162856,0.3840979498847,0.6,60,500,1,1,3
0.0344016515716259,0.21560861913562,0.0616145671722409,0.379178016968918,-0.108644087205714,0.353251124553498,0.7,60,500,1,1,3
0.0277936477059172,0.216337816496009,0.0709355398255765,0.390188554056992,-0.131516283299182,0.300316051891178,0.8,60,500,1,1,3
0.0176747859338483,0.218936382716575,0.0502483502538531,0.413735798102935,-0.0952525879266605,0.186821409392334,0.9,60,500,1,1,3
0.0213561524257838,0.19799366734041,0.0323028404422483,0.323320707026622,0.0787538023446881,0.332105397708575,0.1,70,500,1,1,3
0.019639333022081,0.193937045438822,0.00970449761054359,0.317112230760783,0.0687037604914268,0.338616558480843,0.2,70,500,1,1,3
0.0173157874359447,0.19506096231516,0.0242235792501212,0.320931024848234,0.0364943465198117,0.346250742237733,0.3,70,500,1,1,3
0.0310303941475613,0.196216439434996,0.0158551363686864,0.323084506328163,0.00263976842409622,0.364311643514202,0.4,70,500,1,1,3
0.037826807104878,0.19705665305449,0.0495492801194506,0.335785858113298,-0.0253098942397108,0.357750922799127,0.5,70,500,1,1,3
0.04736660799158,0.197481037049829,0.059547815876914,0.341926368225142,-0.0601761331641829,0.355306262852252,0.6,70,500,1,1,3
0.0411129572371572,0.198102960680872,0.0685178780814126,0.350133105847273,-0.108400743935392,0.332237041302209,0.7,70,500,1,1,3
