"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull"
0.0855116160890687,0.455014269014344,0.145429566097867,0.82813177726953,0.179099262497953,0.471005062906119,-0.4,20,500,1,1,3
0.0689614908332687,0.46068476670597,0.221503721551384,0.902235214159084,0.16343980830978,0.544474942938527,-0.3,20,500,1,1,3
0.0795098596320144,0.445874934443146,0.141586721917738,0.818348926401823,0.188989410094511,0.603300372844555,-0.2,20,500,1,1,3
0.090787561249465,0.439419276167156,0.177755626135636,0.843177409373241,0.153357382939916,0.647102030805471,-0.1,20,500,1,1,3
0.0863788324300343,0.439856224037329,0.167069027928654,0.830299258958115,0.123558354785238,0.663062667098165,0,20,500,1,1,3
0.0576723541610008,0.421980208741848,0.157859775720374,0.727527430502073,0.0193695250400364,0.0673181361992635,-0.9,30,500,1,1,3
0.125084383768694,0.41929221161657,0.199386239303718,0.724656895050949,0.0367383758393221,0.128442832035746,-0.8,30,500,1,1,3
0.0393600945629922,0.372024262549443,0.10315217608136,0.624132467054115,0.0697413481110334,0.191997440213634,-0.7,30,500,1,1,3
0.0463224789866771,0.36383881058117,0.109235192151712,0.606618171206571,0.0748979257810361,0.243364722050274,-0.6,30,500,1,1,3
0.0676021903537764,0.361389736068911,0.115579325940469,0.648441962905457,0.103132543793529,0.297263402306033,-0.5,30,500,1,1,3
0.0401151196128599,0.338545463823326,0.0580296534200468,0.559842773468404,0.151857234111566,0.340829560301979,-0.4,30,500,1,1,3
0.0444289136009195,0.335842507211491,0.0604033532040694,0.563798555851052,0.154922209594232,0.391840425298716,-0.3,30,500,1,1,3
0.0374771301469893,0.336088605188523,0.0762474355877348,0.587985463483565,0.171272955274625,0.441974211342441,-0.2,30,500,1,1,3
0.0731997383920228,0.333971327691116,0.0848983739081161,0.571969299367695,0.144257128222978,0.484970996674291,-0.1,30,500,1,1,3
0.0651639349841551,0.330318228114175,0.0640985174549553,0.568678885257324,0.140923710511975,0.508728359380766,0,30,500,1,1,3
0.0277230455479397,0.356167265841058,0.10808267103629,0.592276106438302,0.0115476156073198,0.054057917790529,-0.9,40,500,1,1,3
0.0467025901245807,0.32702510513129,0.095343346130116,0.531150917971576,0.0248181264073814,0.102322374329549,-0.8,40,500,1,1,3
0.0240735762312405,0.306830966429978,0.0508129814259584,0.484747987526862,0.0427237519831814,0.148350789820083,-0.7,40,500,1,1,3
0.0432818441423184,0.307048257075575,0.101599947733438,0.500707863010515,0.0461298566945825,0.190548090378907,-0.6,40,500,1,1,3
0.0173272977943533,0.294820442657903,0.0955018646512598,0.487269723127798,0.0935963672047481,0.244570741691746,-0.5,40,500,1,1,3
0.036877623072304,0.287851130159021,0.0424479116612242,0.4619272260705,0.0927915954650362,0.282622896678922,-0.4,40,500,1,1,3
0.0191725324025771,0.284361646046655,0.0424678060715384,0.455715508137491,0.0854862510626851,0.310058675230212,-0.3,40,500,1,1,3
